parent_topic_name,sub_topic_name,sub_topic_link,title_type,title,link,episode_series,episode_series_link,episode_number
Health & Healing,Aging / Longevity,/topic/longevity,videos,The Lost Secret of Immortality,/video/lost-secret-immortality,,,
Health & Healing,Aging / Longevity,/topic/longevity,videos,In the Beginning There Was Light,/video/beginning-there-was-light,,,
Health & Healing,Aging / Longevity,/topic/longevity,videos,Telomeres: The Fountain of Youth,/video/telomeres-fountain-youth,,,
Health & Healing,Aging / Longevity,/topic/longevity,videos,Less Stress for Longevity,/video/less-stress-longevity,,,
Health & Healing,Aging / Longevity,/topic/longevity,series,Healing Matrix,/series/healing-matrix,,,
Health & Healing,Aging / Longevity,/topic/longevity,series,Longevity Now Recipes,/series/longevity-now-recipes,,,
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Reprogramming Your Genes,/video/reprogramming-your-genes,Rewired,/series/rewired,S1:Ep6
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Triggering Self-Healing,/video/triggering-self-healing,Missing Links,/series/missing-links,S1:Ep12
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Limitless Aging,/video/limitless-aging,Limitless,/series/limitless,S1:Ep9
Health & Healing,Aging / Longevity,/topic/longevity,episodes,"Telomeres, Longevity & Spirituality",/video/telomeres-longevity-spirituality,Inner Evolution,/series/inner-evolution,S1:Ep11
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Longevity & Diabetes Prevention with Phillip Day,/video/longevity-diabetes-prevention-phillip-day,Food Matters Mastery,/series/food-matters-mastery,S1:Ep34
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Patrick Flanagan on Secrets for a Long Life,/video/patrick-flanagan-secrets-long-life,Open Minds,/series/open-minds,S1:Ep19
Health & Healing,Aging / Longevity,/topic/longevity,episodes,You Are the Placebo with Dr Joe Dispenza,/video/you-are-the-placebo-with-dr-joe-dispenza,Inspirations,/series/inspirations,S6:Ep16
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Living in a Limitless World,/video/living-in-a-limitless-world,Beyond Belief,/series/beyond-belief,S18:Ep14
Health & Healing,Aging / Longevity,/topic/longevity,episodes,Future Heart Health: Stem Cells & Regeneration with Christian Wilde,/video/future-heart-health-stem-cells-regeneration-christian-wilde,Beyond Belief,/series/beyond-belief,S2:Ep2
