title,title_type,link,parent_topic_name,sub_topic_name
The Lost Secret of Immortality,videos,/video/lost-secret-immortality,"Health & Healing, Spiritual Growth, Hidden History","Aging / Longevity, World Religions, Our Origins"
In the Beginning There Was Light,videos,/video/beginning-there-was-light,Health & Healing,Aging / Longevity
Telomeres: The Fountain of Youth,videos,/video/telomeres-fountain-youth,Health & Healing,Aging / Longevity
Less Stress for Longevity,videos,/video/less-stress-longevity,Health & Healing,Aging / Longevity
Healing Matrix,series,/series/healing-matrix,Health & Healing,Aging / Longevity
Longevity Now Recipes,series,/series/longevity-now-recipes,"Health & Healing, Health & Healing","Aging / Longevity, Recipes"
Healing the Mind,videos,/video/healing-mind,"Health & Healing, Spiritual Growth","Ayurveda, Emotional Healing"
Ayurveda for Weight Loss,videos,/video/ayurveda-weight-loss,Health & Healing,Ayurveda
Basics of Ayurveda,videos,/video/basics-ayurveda,Health & Healing,Ayurveda
Ayurveda for Detox,videos,/video/ayurveda-detox,Health & Healing,Ayurveda
Ayurveda for Stress Relief,videos,/video/ayurveda-stress-relief,"Health & Healing, Health & Healing","Ayurveda, Stress Relief"
Thrive: Self-Healing with Ayurveda,series,/series/thrive-self-healing-ayurveda,Health & Healing,Ayurveda
Ayurveda Action Plan,series,/series/ayurveda-action-plan,Health & Healing,Ayurveda
Eat Like You Love Yourself with Chara Caruthers,series,/series/eat-you-love-yourself-chara-caruthers,"Health & Healing, Health & Healing","Ayurveda, Recipes"
Our Common Roots,series,/series/our-common-roots,"Health & Healing, Expanded Consciousness","Ayurveda, Plant Medicine"
Ayurveda Exploration,series,/series/ayurveda-exploration,Health & Healing,Ayurveda
Morning BreathWork with James Colquhoun,videos,/video/morning-breathwork-james-colquhoun,Health & Healing,Breathing
Pranayama & Meditation,videos,/video/pranayama-meditation,"Health & Healing, Meditation","Breathing, Breathwork"
Introduction to Breath Meditation,videos,/video/introduction-breath-meditation,"Health & Healing, Meditation","Breathing, Breathwork"
Flowing Breath Meditation for Stress Release,videos,/video/flowing-breath-meditation-stress-release,"Health & Healing, Meditation","Breathing, Breathwork"
Energetic Armor: Audio Meditation,videos,/video/energetic-armor-audio-meditation,"Health & Healing, Meditation","Breathing, Breathwork"
Surge of Whole Energy Breathing Practice,videos,/video/surge-whole-energy-breathing-practice,"Health & Healing, Meditation","Breathing, Breathwork"
Give Breath a Chance,videos,/video/give-breath-chance,Health & Healing,Breathing
Breath Alchemy,videos,/video/breath-alchemy,Health & Healing,Breathing
Inner Strength & Confidence Breath Meditation,videos,/video/inner-strength-confidence-breath-meditation,"Health & Healing, Meditation","Breathing, Breathwork"
Exploring Breath and Pranayama,videos,/video/exploring-breath-and-pranayama,Health & Healing,Breathing
"When in Doubt: Breathe In, Breathe Out",videos,/video/when-doubt-breathe-breathe-out,Health & Healing,Breathing
Weed The People,videos,/video/weed-the-people,"Health & Healing, Expanded Consciousness","Cancer, Plant Medicine"
Stressed,videos,/video/stressed,"Health & Healing, Health & Healing, Spiritual Growth","Cancer, Stress Relief, Emotional Healing"
